time,type,count
2016-01-01,PullRequestReviewCommentEvent,2862
2016-01-01,ReleaseEvent,1520
2016-01-01,PushEvent,205839
2016-01-01,IssueCommentEvent,23919
2016-01-01,GollumEvent,2826
2016-01-01,ForkEvent,10282
2016-01-01,PublicEvent,288
2016-01-01,MemberEvent,885
2016-01-01,PullRequestEvent,14010
2016-01-01,WatchEvent,34492
2016-01-01,IssuesEvent,14900
2016-01-01,DeleteEvent,5958
2016-01-01,CreateEvent,41892
2016-01-01,CommitCommentEvent,1453
2016-01-02,DeleteEvent,8244
2016-01-02,GollumEvent,3076
2016-01-02,IssueCommentEvent,29649
2016-01-02,CommitCommentEvent,1936
2016-01-02,IssuesEvent,17671
2016-01-02,CreateEvent,60293
2016-01-02,MemberEvent,1459
2016-01-02,ReleaseEvent,1565
2016-01-02,PublicEvent,322
2016-01-02,ForkEvent,12874
2016-01-02,PullRequestEvent,18515
2016-01-02,PushEvent,246706
2016-01-02,PullRequestReviewCommentEvent,3640
2016-01-02,WatchEvent,43624
2016-01-03,CommitCommentEvent,2075
2016-01-03,ForkEvent,14248
2016-01-03,DeleteEvent,11893
2016-01-03,PublicEvent,407
2016-01-03,GollumEvent,3491
2016-01-03,MemberEvent,1541
2016-01-03,PullRequestReviewCommentEvent,3992
2016-01-03,IssuesEvent,19138
2016-01-03,CreateEvent,56606
2016-01-03,PullRequestEvent,21207
2016-01-03,PushEvent,267476
2016-01-03,WatchEvent,46215
2016-01-03,IssueCommentEvent,33513
2016-01-03,ReleaseEvent,1797
2016-01-04,IssueCommentEvent,70146
2016-01-04,ReleaseEvent,2483
2016-01-04,ForkEvent,24490
2016-01-04,WatchEvent,77599
2016-01-04,PushEvent,375382
2016-01-04,DeleteEvent,16787
2016-01-04,PullRequestEvent,39914
2016-01-04,GollumEvent,5427
2016-01-04,CreateEvent,92697
2016-01-04,IssuesEvent,32402
2016-01-04,MemberEvent,4671
2016-01-04,CommitCommentEvent,4027
2016-01-04,PublicEvent,704
2016-01-04,PullRequestReviewCommentEvent,12185
2016-01-05,PushEvent,390714
2016-01-05,ForkEvent,27168
2016-01-05,IssuesEvent,34111
2016-01-05,CommitCommentEvent,4268
2016-01-05,ReleaseEvent,2503
2016-01-05,PullRequestEvent,42422
2016-01-05,CreateEvent,99032
2016-01-05,GollumEvent,5720
2016-01-05,IssueCommentEvent,74439
2016-01-05,WatchEvent,78990
2016-01-05,PullRequestReviewCommentEvent,13993
2016-01-05,MemberEvent,4418
2016-01-05,DeleteEvent,17063
2016-01-05,PublicEvent,700
2016-01-06,GollumEvent,5735
2016-01-06,MemberEvent,4289
2016-01-06,IssueCommentEvent,74171
2016-01-06,CreateEvent,102168
2016-01-06,WatchEvent,73752
2016-01-06,PullRequestEvent,43416
2016-01-06,PublicEvent,780
2016-01-06,PullRequestReviewCommentEvent,14097
2016-01-06,ReleaseEvent,2725
2016-01-06,CommitCommentEvent,4437
2016-01-06,PushEvent,407099
2016-01-06,ForkEvent,26904
2016-01-06,IssuesEvent,34881
2016-01-06,DeleteEvent,16927
2016-01-07,IssuesEvent,36148
2016-01-07,PushEvent,407884
2016-01-07,IssueCommentEvent,75318
2016-01-07,CreateEvent,103406
2016-01-07,PullRequestEvent,45094
2016-01-07,CommitCommentEvent,4460
2016-01-07,PublicEvent,777
2016-01-07,GollumEvent,5893
2016-01-07,WatchEvent,75020
2016-01-07,MemberEvent,4649
2016-01-07,ForkEvent,26527
2016-01-07,DeleteEvent,16804
2016-01-07,ReleaseEvent,2806
2016-01-07,PullRequestReviewCommentEvent,14583
2016-01-08,IssueCommentEvent,72240
2016-01-08,PushEvent,399036
2016-01-08,MemberEvent,4478
2016-01-08,PullRequestReviewCommentEvent,13374
2016-01-08,GollumEvent,5756
2016-01-08,WatchEvent,69566
2016-01-08,IssuesEvent,38794
2016-01-08,CommitCommentEvent,4245
2016-01-08,CreateEvent,94113
2016-01-08,PublicEvent,721
2016-01-08,ReleaseEvent,2647
2016-01-08,DeleteEvent,16224
2016-01-08,PullRequestEvent,42587
2016-01-08,ForkEvent,25696
2016-01-09,CreateEvent,72599
2016-01-09,PublicEvent,459
2016-01-09,GollumEvent,3648
2016-01-09,DeleteEvent,9057
2016-01-09,IssueCommentEvent,44934
2016-01-09,PushEvent,296088
2016-01-09,CommitCommentEvent,2335
2016-01-09,WatchEvent,47186
2016-01-09,MemberEvent,2546
2016-01-09,ForkEvent,15986
2016-01-09,ReleaseEvent,1684
2016-01-09,PullRequestEvent,23432
2016-01-09,PullRequestReviewCommentEvent,4764
2016-01-09,IssuesEvent,21030
2016-01-10,PushEvent,308222
2016-01-10,DeleteEvent,9344
2016-01-10,GollumEvent,4073
2016-01-10,ReleaseEvent,1870
2016-01-10,CreateEvent,67555
2016-01-10,ForkEvent,16485
2016-01-10,IssuesEvent,22356
2016-01-10,PullRequestEvent,23834
2016-01-10,MemberEvent,2108
2016-01-10,CommitCommentEvent,2200
2016-01-10,PublicEvent,446
2016-01-10,PullRequestReviewCommentEvent,5181
2016-01-10,WatchEvent,47156
2016-01-10,IssueCommentEvent,39046
2016-01-11,IssueCommentEvent,75837
2016-01-11,CreateEvent,103155
2016-01-11,CommitCommentEvent,4449
2016-01-11,ForkEvent,25694
2016-01-11,IssuesEvent,35857
2016-01-11,MemberEvent,4891
2016-01-11,DeleteEvent,16701
2016-01-11,GollumEvent,5922
2016-01-11,WatchEvent,74627
2016-01-11,PullRequestReviewCommentEvent,14654
2016-01-11,PushEvent,420171
2016-01-11,PullRequestEvent,44396
2016-01-11,PublicEvent,726
2016-01-11,ReleaseEvent,3010
2016-01-12,PublicEvent,841
2016-01-12,ForkEvent,27631
2016-01-12,DeleteEvent,18983
2016-01-12,PushEvent,434556
2016-01-12,WatchEvent,77999
2016-01-12,PullRequestReviewCommentEvent,15834
2016-01-12,ReleaseEvent,2949
2016-01-12,IssuesEvent,37348
2016-01-12,GollumEvent,7069
2016-01-12,PullRequestEvent,49905
2016-01-12,CommitCommentEvent,4791
2016-01-12,CreateEvent,113485
2016-01-12,MemberEvent,5428
2016-01-12,IssueCommentEvent,79809
2016-01-13,PullRequestReviewCommentEvent,16319
2016-01-13,ReleaseEvent,2765
2016-01-13,GollumEvent,6847
2016-01-13,IssueCommentEvent,82149
2016-01-13,WatchEvent,76151
2016-01-13,PushEvent,440696
2016-01-13,DeleteEvent,20433
2016-01-13,CommitCommentEvent,4747
2016-01-13,IssuesEvent,37866
2016-01-13,PullRequestEvent,48502
2016-01-13,MemberEvent,4971
2016-01-13,PublicEvent,731
2016-01-13,CreateEvent,108623
2016-01-13,ForkEvent,26941
2016-01-14,PushEvent,440412
2016-01-14,PullRequestEvent,48947
2016-01-14,IssuesEvent,36471
2016-01-14,ForkEvent,27783
2016-01-14,MemberEvent,5480
2016-01-14,DeleteEvent,19493
2016-01-14,WatchEvent,77772
2016-01-14,PublicEvent,775
2016-01-14,GollumEvent,5940
2016-01-14,IssueCommentEvent,79142
2016-01-14,CreateEvent,109348
2016-01-14,ReleaseEvent,3251
2016-01-14,CommitCommentEvent,4455
2016-01-14,PullRequestReviewCommentEvent,16281
