times,type,counts
2011-02-12,DeleteEvent,466
2011-02-12,ForkEvent,930
2011-02-12,ForkApplyEvent,55
2011-02-12,FollowEvent,1089
2011-02-12,PublicEvent,24
2011-02-12,CreateEvent,4842
2011-02-12,PushEvent,16694
2011-02-12,WatchEvent,3517
2011-02-12,GollumEvent,1029
2011-02-12,IssuesEvent,1161
2011-02-12,MemberEvent,228
2011-02-12,DownloadEvent,144
2011-02-12,PullRequestEvent,799
2011-02-12,CommitCommentEvent,410
2011-02-12,GistEvent,809
2011-02-13,CreateEvent,10106
2011-02-13,ForkEvent,822
2011-02-13,DeleteEvent,455
2011-02-13,WatchEvent,3692
2011-02-13,IssuesEvent,1332
2011-02-13,GollumEvent,1035
2011-02-13,PullRequestEvent,667
2011-02-13,CommitCommentEvent,451
2011-02-13,PublicEvent,36
2011-02-13,ForkApplyEvent,130
2011-02-13,DownloadEvent,234
2011-02-13,FollowEvent,1023
2011-02-13,PushEvent,18277
2011-02-13,GistEvent,783
2011-02-13,MemberEvent,209
2011-02-14,FollowEvent,1273
2011-02-14,ForkApplyEvent,133
2011-02-14,WatchEvent,4722
2011-02-14,DeleteEvent,792
2011-02-14,MemberEvent,371
2011-02-14,CreateEvent,6933
2011-02-14,GistEvent,1061
2011-02-14,DownloadEvent,232
2011-02-14,PublicEvent,29
2011-02-14,GollumEvent,1496
2011-02-14,PullRequestEvent,1002
2011-02-14,CommitCommentEvent,559
2011-02-14,PushEvent,22797
2011-02-14,IssuesEvent,1620
2011-02-14,ForkEvent,1160
2011-02-15,FollowEvent,1324
2011-02-15,DownloadEvent,446
2011-02-15,PullRequestEvent,1009
2011-02-15,CreateEvent,6459
2011-02-15,ForkApplyEvent,106
2011-02-15,ForkEvent,1178
2011-02-15,GollumEvent,1150
2011-02-15,GistEvent,1126
2011-02-15,PublicEvent,43
2011-02-15,MemberEvent,343
2011-02-15,DeleteEvent,712
2011-02-15,PushEvent,22613
2011-02-15,CommitCommentEvent,518
2011-02-15,WatchEvent,4967
2011-02-15,IssuesEvent,1878
2011-02-16,WatchEvent,4477
2011-02-16,DeleteEvent,467
2011-02-16,DownloadEvent,169
2011-02-16,PullRequestEvent,970
2011-02-16,MemberEvent,332
2011-02-16,PublicEvent,39
2011-02-16,PushEvent,21993
2011-02-16,GistEvent,1194
2011-02-16,CommitCommentEvent,581
2011-02-16,FollowEvent,1350
2011-02-16,GollumEvent,1268
2011-02-16,IssuesEvent,1665
2011-02-16,ForkEvent,1178
2011-02-16,ForkApplyEvent,93
2011-02-16,CreateEvent,5693
2011-02-17,PullRequestEvent,1009
2011-02-17,WatchEvent,4758
2011-02-17,DownloadEvent,149
2011-02-17,PushEvent,23464
2011-02-17,MemberEvent,390
2011-02-17,IssuesEvent,1748
2011-02-17,DeleteEvent,491
2011-02-17,PublicEvent,38
2011-02-17,FollowEvent,1408
2011-02-17,ForkApplyEvent,132
2011-02-17,CommitCommentEvent,655
2011-02-17,GistEvent,1345
2011-02-17,ForkEvent,1148
2011-02-17,GollumEvent,1126
2011-02-17,CreateEvent,9315
2011-02-18,DownloadEvent,157
2011-02-18,GollumEvent,1101
2011-02-18,WatchEvent,4598
2011-02-18,PullRequestEvent,871
2011-02-18,DeleteEvent,414
2011-02-18,FollowEvent,1369
2011-02-18,ForkApplyEvent,92
2011-02-18,PublicEvent,62
2011-02-18,MemberEvent,1248
2011-02-18,CommitCommentEvent,564
2011-02-18,IssuesEvent,1723
2011-02-18,ForkEvent,1151
2011-02-18,CreateEvent,7452
2011-02-18,GistEvent,1179
2011-02-18,PushEvent,22098
2011-02-19,DownloadEvent,167
2011-02-19,ForkEvent,899
2011-02-19,MemberEvent,234
2011-02-19,CreateEvent,4716
2011-02-19,CommitCommentEvent,388
2011-02-19,FollowEvent,1007
2011-02-19,WatchEvent,3538
2011-02-19,GollumEvent,954
2011-02-19,PushEvent,16999
2011-02-19,PublicEvent,18
2011-02-19,PullRequestEvent,704
2011-02-19,IssuesEvent,1209
2011-02-19,ForkApplyEvent,68
2011-02-19,GistEvent,758
2011-02-19,DeleteEvent,331
2011-02-20,ForkApplyEvent,97
2011-02-20,CreateEvent,5997
2011-02-20,GistEvent,718
2011-02-20,FollowEvent,1012
2011-02-20,PushEvent,17306
2011-02-20,MemberEvent,177
2011-02-20,PublicEvent,26
2011-02-20,PullRequestEvent,660
2011-02-20,DeleteEvent,287
2011-02-20,IssuesEvent,1137
2011-02-20,ForkEvent,826
2011-02-20,WatchEvent,3304
